iter	Passed	Remaining
622	3849	2329
623	3857	2324
624	3864	2318
625	3883	2320
626	3890	2314
627	3897	2308
628	3905	2303
629	3911	2297
630	3918	2291
631	3923	2284
632	3928	2277
633	3935	2271
634	3941	2265
635	3946	2258
636	3953	2252
637	3958	2246
638	3964	2239
639	3971	2233
640	3979	2228
641	3986	2223
642	3992	2216
643	3999	2210
644	4005	2204
645	4011	2198
646	4017	2192
647	4023	2185
648	4028	2178
649	4034	2172
650	4040	2165
651	4046	2159
652	4051	2153
653	4057	2146
654	4063	2140
655	4069	2133
656	4074	2127
657	4079	2120
658	4085	2113
659	4090	2107
660	4096	2100
661	4101	2094
662	4106	2087
663	4112	2081
664	4117	2074
665	4122	2067
666	4128	2061
667	4133	2054
668	4138	2047
669	4144	2041
670	4149	2034
671	4154	2027
672	4160	2021
673	4165	2014
674	4170	2008
675	4176	2001
676	4181	1995
677	4186	1988
678	4192	1981
679	4197	1975
680	4202	1968
681	4208	1962
682	4214	1955
683	4219	1949
684	4224	1942
685	4229	1936
686	4235	1929
687	4241	1923
688	4246	1916
689	4252	1910
690	4259	1904
691	4264	1897
692	4270	1891
693	4275	1884
694	4280	1878
695	4286	1872
696	4291	1865
697	4296	1859
698	4302	1852
699	4308	1846
700	4315	1840
701	4320	1834
702	4325	1827
703	4332	1821
704	4339	1815
705	4344	1809
706	4351	1803
707	4357	1796
708	4363	1790
709	4370	1785
710	4378	1779
711	4385	1773
712	4392	1768
713	4399	1762
714	4404	1755
715	4409	1749
716	4417	1743
717	4422	1736
718	4429	1731
719	4435	1724
720	4440	1718
721	4447	1712
722	4452	1705
723	4457	1699
724	4464	1693
725	4470	1687
726	4477	1681
727	4486	1676
728	4493	1670
729	4499	1664
730	4504	1657
731	4511	1651
732	4516	1645
733	4522	1638
734	4528	1632
735	4533	1626
736	4539	1619
737	4544	1613
738	4550	1606
739	4556	1600
740	4561	1594
741	4570	1589
742	4578	1583
743	4584	1577
744	4591	1571
745	4598	1565
746	4607	1560
747	4613	1554
748	4620	1548
749	4625	1541
750	4630	1535
751	4638	1529
752	4643	1523
753	4648	1516
754	4653	1510
755	4658	1503
756	4663	1497
757	4668	1490
758	4673	1483
759	4678	1477
760	4684	1471
761	4688	1464
762	4693	1457
763	4699	1451
764	4704	1445
765	4708	1438
766	4714	1432
767	4719	1425
768	4724	1419
769	4730	1413
770	4735	1406
771	4740	1399
772	4744	1393
773	4750	1387
774	4755	1380
775	4759	1373
776	4766	1367
777	4770	1361
778	4775	1354
779	4782	1348
780	4789	1342
781	4795	1336
782	4799	1330
783	4805	1323
784	4810	1317
785	4815	1311
786	4820	1304
787	4825	1298
788	4830	1291
789	4835	1285
790	4840	1278
791	4845	1272
792	4850	1266
793	4855	1259
794	4861	1253
795	4866	1247
796	4870	1240
797	4876	1234
798	4881	1227
799	4885	1221
800	4891	1215
801	4896	1208
802	4901	1202
803	4906	1196
804	4911	1189
805	4916	1183
806	4921	1177
807	4927	1170
808	4932	1164
809	4937	1158
810	4943	1152
811	4948	1145
812	4953	1139
813	4957	1132
814	4962	1126
815	4967	1120
816	4972	1113
817	4977	1107
818	4982	1101
819	4988	1094
820	4993	1088
821	4998	1082
822	5004	1076
823	5009	1070
824	5014	1063
825	5020	1057
826	5025	1051
827	5030	1044
828	5036	1038
829	5040	1032
830	5045	1026
831	5050	1019
832	5055	1013
833	5060	1007
834	5065	1000
835	5070	994
836	5074	988
837	5079	981
838	5084	975
839	5089	969
840	5093	962
841	5098	956
842	5103	950
843	5107	944
844	5113	937
845	5118	931
846	5122	925
847	5127	919
848	5132	912
849	5137	906
850	5142	900
851	5147	894
852	5152	887
853	5156	881
854	5162	875
855	5166	869
856	5171	862
857	5176	856
858	5181	850
859	5185	844
860	5190	837
861	5195	831
862	5200	825
863	5205	819
864	5210	813
865	5215	807
866	5220	800
867	5225	794
868	5230	788
869	5235	782
870	5241	776
871	5247	770
872	5252	764
873	5258	758
